id,answer,instructions,annex_id,recommendation_id,next_question_id,question_id
1001,"Yes, I am employed by the government or a government owned or controlled corporation with an original charter.","Your rights are covered by the Civil Service Law, rules, and regulations, not by the Labor Code. (Art. 291, Labor Code)",NULL,NULL,NULL,1001
1005,Labor union / organization,NULL,NULL,NULL,NULL,1002
1006,"Yes, I am a domestic worker.",NULL,NULL,NULL,NULL,1003
1014,"No, I am not a child under such an arrangement.",NULL,NULL,NULL,NULL,1006
1019,"Yes, I am a managerial employee.",NULL,NULL,NULL,NULL,1008
1021,"Yes, I am a supervisory employee.","You do not seem to be a rank-and-file employee under the definition of the law. (Art. 219 (m), Labor Code)",NULL,NULL,NULL,1009
1032,Regularization,NULL,NULL,NULL,NULL,1014
1033,Illegal recruitment,NULL,NULL,NULL,NULL,1014
1034,Sexual harassment,NULL,NULL,NULL,NULL,1014
1035,Oveseas employment issues,NULL,NULL,NULL,NULL,1014
1036,Non-compliance with other contractual stipulations,NULL,NULL,NULL,NULL,1014
1038,"No, it does not.",NULL,NULL,NULL,NULL,1015
1040,"No, it does not.",NULL,NULL,NULL,NULL,1016
1041,"Yes, it does.",NULL,NULL,NULL,NULL,1017
1042,"No, it does not.",NULL,NULL,NULL,NULL,1017
1049,"Yes, I am a government employee.","Government employees are covered by the salary standardization law and the Civil Service Law, rather than the Labor Code. Such employees are not entitled to holiday pay, premium pay, overtime pay, or night shift differentials under the Labor Code.(Art. 82, Labor Code)They are also not entitled to retirement pay if they are covered by the Civil Service Law and its regulations; however, if they do not have original charters and are organized under the Corporation Code, they are entitled. (Chan, Bar Reviewer on Labor Law, Chan Robles Publishing Company: 2017) Generally, government employees are not entitled to 13th Month Pay, with the exception of those employed under Government Owned and Controlled Corporations which operate essentially as private subsidiaries of the Government. (Revised Guidelines on the Implementation of the 13th Month Pay Law, 16 November 1987)They are not entitled to Service Incentive Leave. (Sec. 1, Rule V, Book III, Rules Implementing the Labor Code)",NULL,NULL,NULL,1021
1051,"Yes, I am a managerial employee.","Such employees are not entitled to holiday pay, premium pay, overtime pay, or night shift differentials under the Labor Code.(Art. 82, Labor Code)",NULL,NULL,NULL,1022
1053,"Yes, I am a member of the managerial staff.","Such employees are not entitled to holiday pay, premium pay, overtime pay, or night shift differentials under the Labor Code. (Art. 82, Labor Code)They are not entitled to 13th Month Pay. (Revised Guidelines on the Implementation of the 13th Month Pay Law, 16 November 1987) They are entitled to Retirement Pay. (Art. 302, Labor Code)",NULL,NULL,NULL,1023
1066,"Yes, I devote more than 20% of my hours worked in a workweek to activities unrelated to management work.","You seem to be a member of the managerial staff. Such employees are not entitled to holiday pay, premium pay, overtime pay, or night shift differentials under the Labor Code. (Art. 82, Labor Code)They are not entitled to 13th Month Pay. (Revised Guidelines on the Implementation of the 13th Month Pay Law, 16 November 1987) They are entitled to Retirement Pay. (Art. 302, Labor Code)",NULL,NULL,NULL,1029
1003,Co-worker,NULL,NULL,1601,NULL,1002
1004,Employer / Superior / Management,NULL,NULL,NULL,1003,1002
1007,"No, I am not a domestic helper.",NULL,NULL,NULL,1007,1003
1008,I don’t know.,NULL,NULL,NULL,1004,1003
1009,"Yes, I engage in such work.",NULL,NULL,NULL,1005,1004
1011,I engage in it only from time to time.,You do not seem to be a domestic worker under the definition of the law.,NULL,NULL,1007,1005
1012,It is my primary occupation.,NULL,NULL,NULL,1006,1005
1013,"Yes, I am a child under such an arrangement.",You do not seem to be a domestic worker under the definition of the law.,NULL,NULL,1007,1006
1015,"Yes, I am a rank and file employee.",NULL,NULL,NULL,1010,1007
1016,"No, I am not a rank-and-file employee.",NULL,NULL,NULL,1008,1007
1017,I don’t know.,NULL,NULL,NULL,1008,1007
1018,"No, I am not a managerial employee.",NULL,NULL,NULL,1009,1008
1022,I was directly hired by the employer.,NULL,NULL,NULL,1011,1010
1023,I was hired through a contractor or agency.,NULL,NULL,NULL,1015,1010
1024,"Yes, he has the right to exercise ALL of those powers.",There seems to be an employer-employee relationship under the 4-fold test.,NULL,NULL,1014,1011
1025,"No, he cannot exercise one, some, or all of those powers.",It is debatable whether or not an employer-employee relationship exists under the 4-fold test.,NULL,NULL,1012,1011
1026,"Yes, he has that power.",NULL,NULL,NULL,1013,1012
1027,"No, he does not have that power.",NULL,NULL,1604,NULL,1012
1028,"Yes, I am dependent on him.",There seems to be an employer-employee relationship under the Two-Tier Test.,NULL,NULL,1014,1013
1029,"No, I am not dependent on him.",NULL,NULL,1605,NULL,1013
1030,Termination of employment,NULL,NULL,NULL,1224,1014
1031,Non-payment or underpayment of benefits or wages,NULL,NULL,NULL,1018,1014
1037,"Yes, it does.",NULL,NULL,NULL,1016,1015
1039,"Yes, it does.",NULL,NULL,NULL,1017,1016
1043,"Yes, my money claims are related to illegal dismissal.",NULL,NULL,NULL,1224,1018
1044,"No, my money claims are not related to illegal dismissal.",NULL,NULL,NULL,1019,1018
1045,"Yes, more than 3 years have elapsed.",NULL,NULL,NULL,1020,1019
1046,"No, 3 years have not yet elapsed.",NULL,NULL,NULL,1021,1019
1047,"Yes, I was able to institute a claim before 3 years had passed.",NULL,NULL,NULL,1021,1020
1050,"No, I am not a government employee.",NULL,NULL,NULL,1022,1021
1052,"No, I am not a managerial employee.",NULL,NULL,NULL,1023,1022
1054,"No, I am not a member of the managerial staff.",NULL,NULL,NULL,1030,1023
1055,I don’t know.,NULL,NULL,NULL,1024,1023
1056,"Yes, I do.",NULL,NULL,NULL,1025,1024
1057,"No, I do not.",NULL,NULL,NULL,1030,1024
1058,"Yes, I do.",NULL,NULL,NULL,1026,1025
1059,"No, I do not.",NULL,NULL,NULL,1030,1025
1060,"Yes, I do.",NULL,NULL,NULL,1029,1026
1061,"No, I do not.",NULL,NULL,NULL,1027,1026
1062,"Yes, it does.",NULL,NULL,NULL,1029,1027
1063,"No, it does not.",NULL,NULL,NULL,1028,1027
1064,"Yes, I do.",NULL,NULL,NULL,1029,1028
1065,"No, I do not.",NULL,NULL,NULL,1030,1028
1068,"Yes, I am a field personnel.",NULL,NULL,NULL,NULL,1030
1070,"Yes, I am a member of the employer’s family who is dependent on him for support.","Such employees are not entitled to holiday pay, premium pay, overtime pay, or night shift differentials under the Labor Code. (Art. 82, Labor Code) Rank-and-file employees who are also members of the employer’s family and dependent on him for support are entitled to 13th Month Pay. (Revised Guidelines on the Implementation of the 13th Month Pay Law, 16 November 1987) They are entitled to Retirement Pay. (Art. 302, Labor Code)",NULL,NULL,NULL,1031
1073,"Yes, I am in the personal service of the employer.","Such employees are not entitled to holiday pay, premium pay, overtime pay, or night shift differentials under the Labor Code. (Art. 82, Labor Code)",NULL,NULL,NULL,1032
1075,"Yes, I am paid based on results.","Such employees are not entitled to holiday pay, premium pay, overtime pay, or night shift differentials under the Labor Code. (Art. 82, Labor Code) But workers paid on a piece-rate basis are entitled to 13th month pay. (Revised Guidelines on the Implementation of the 13th Month Pay Law, 16 November 1987) They are not entitled to 13th Month Pay. (Revised Guidelines on the Implementation of the 13th Month Pay Law, 16 November 1987) They are entitled to Retirement Pay. (Art. 302, Labor Code) They are not entitled to Service Incentive Leave. (Sec. 1, Rule V, Book III, Rules Implementing the Labor Code)",NULL,NULL,NULL,1033
1077,"Yes, I am a domestic worker.","Such employees are not entitled to holiday pay, premium pay, overtime pay, or night shift differentials under the Labor Code. (Art. 82, Labor Code) They are entitled to 13th month pay. (Sec. 25, R.A. No. 10361) They are entitled to Retirement Pay. (Labor Advisory on Retirement Pay Law, 24 October 1996) They are entitled to Service Incentive Leave. (Sec. 29, R.A. No. 10361)",NULL,NULL,NULL,1034
1084,Underpayment or non-payment of Hazards and Disabilities Benefits.,NULL,NULL,NULL,NULL,1035
1087,I was not paid in cash or legal tender.,NULL,NULL,NULL,NULL,1036
1088,I was not paid on time or at all.,NULL,NULL,NULL,NULL,1036
1089,My salary or wage was not paid directly to me.,NULL,NULL,NULL,NULL,1036
1090,The employer is interfering with how I use my salary or wage.,NULL,NULL,NULL,NULL,1036
1091,There are deductions to my salary or wage.,NULL,NULL,NULL,NULL,1036
1071,"No, I am not a member of the employer’s family.",NULL,NULL,NULL,1032,1031
1074,"No, I am not in the personal service of the employer.",NULL,NULL,NULL,1033,1032
1076,"No, I am not paid based on results.",NULL,NULL,NULL,1034,1033
1078,"No, I am not a domestic worker.",NULL,NULL,NULL,1035,1034
1080,Underpayment or non-payment of 13th month pay.,NULL,NULL,NULL,1203,1035
1081,Underpayment or non-payment of separation pay.,NULL,NULL,NULL,1207,1035
1082,Underpayment or non-payment of retirement pay.,NULL,NULL,NULL,1212,1035
1083,Entitlement or recognition of service incentive leaves.,"Service incentive leaves are yearly leaves of five days with pay. (Art. 95, Labor Code)",NULL,NULL,1220,1035
1085,I may be receiving less than the minimum wage.,NULL,NULL,NULL,1037,1036
1086,I may have been underpaid.,"Included in this section are the computation for basic wages, premium pay, overtime pay, night differentials, and holiday pay.",NULL,NULL,1038,1036
1092,National Capital Region (Metro Manila),NULL,NULL,1703,NULL,1037
1093,Cordillera Administrative Region,NULL,NULL,1704,NULL,1037
1094,Region I (Ilocos),NULL,NULL,1705,NULL,1037
1095,Region II (Cagayan Valley),NULL,NULL,1706,NULL,1037
1096,Region III (Central Luzon),NULL,NULL,1707,NULL,1037
1097,Region IV – A (Southern Tagalog Mainland – CALABARZON),NULL,NULL,1708,NULL,1037
1098,Region IV – B (MIMAROPA),NULL,NULL,1709,NULL,1037
1099,Region V (Bicol),NULL,NULL,1710,NULL,1037
1100,Region VI (Western Visayas),NULL,NULL,1711,NULL,1037
1101,Region VII (Central Visayas),NULL,NULL,1712,NULL,1037
1102,Region VIII (Eastern Visayas),NULL,NULL,1713,NULL,1037
1103,Region IX (Zamboanga Peninsula),NULL,NULL,1714,NULL,1037
1104,Region X (Northern Mindanao),NULL,NULL,1715,NULL,1037
1105,Region XI (Davao),NULL,NULL,1716,NULL,1037
1106,Region XII (SOCCSKSARGEN),NULL,NULL,1717,NULL,1037
1107,Region XIII (CARAGA),NULL,NULL,1718,NULL,1037
1108,Bangsamoro Autonomous Region (formerly Autonomous Region of Muslim Mindanao),NULL,NULL,1719,NULL,1037
1109,"Yes, I am a health personnel.",NULL,NULL,NULL,1039,1038
1110,"No, I am not a health personnel.",NULL,NULL,NULL,1041,1038
1111,"Yes, I am a health personnel in such a city or municipality.",NULL,NULL,1720,NULL,1039
1112,"No, I am not working in such a city.",NULL,NULL,NULL,1040,1039
1114,"No, I am not employed in such a hospital.",NULL,NULL,NULL,1041,1040
1115,"Yes, I am working under a CWW system.",NULL,NULL,1721,NULL,1041
1116,"No, I am not working under a CWW system.",NULL,NULL,NULL,1046,1041
1117,I don’t know.,NULL,NULL,NULL,1042,1041
1118,"Yes, a majority of the employees voluntarily agreed to the CWW system.",NULL,NULL,NULL,1043,1042
1120,"Yes, I work in such a company.",NULL,NULL,NULL,1044,1043
1121,"No, I do not work in such a company.",NULL,NULL,NULL,1045,1043
1122,"Yes, there is such a certification.",NULL,NULL,NULL,1045,1044
1123,"No, there is no such certification.",The CWW does not seem to be valid.,NULL,NULL,1046,1044
1124,"Yes, the employer notified the DOLE Regional Office.",NULL,NULL,1721,NULL,1045
1125,"No, the employer did not notify the DOLE Regional Office.",NULL,NULL,NULL,1046,1045
1126,"Yes, I work in such an establishment.",You do not seem to be entitled to Holiday Pay.,NULL,1722,NULL,1046
