1001,Are you employed by the government or a government owned or controlled corporation?,1,,1
1002,"Do you have a grievance against a co-worker or your employer / superior / management, or in relation to labor unions / organizations / the right of representation?",2,,1
1003,Are you a domestic worker?,3,"“Domestic Worker” or '"Kasambahay'" refers to any person engaged in domestic work within an employment relationship such as, but not limited to, the following: general househelp, nursemaid or '"yaya'", cook, gardener, or laundry person, but shall exclude any person who performs domestic work only occasionally or sporadically and not on an occupational basis. The term shall not include children who are under foster family arrangement, and are provided access to education and given an allowance incidental to education, i.e. '"baon'", transportation, school projects and school activities. (Sec. 4, R.A. 10361)",1
1004,"Do you engage in work such as or similar to general househelp, nursemaid or '"yaya'", cook, gardener, or laundry person?",4,,1
1005,Do you engage in such work only from time to time or is it your primary occupation?,5,,1
1006,"Are you a child under the foster family arrangement, whose education is supported by the employer?",6,,1
1007,Are you a rank and file employee?,7,,1
1008,Are you a managerial employee?,8,"Managerial employees are those who are vested with the powers or prerogatives to lay down and execute management policies and/or to hire, transfer, suspend, lay-off, recall, discharge, assign or discipline employees. (Art. 219 (m), Labor Code)",1
1009,Are you a supervisory employee?,9,"Supervisory employees are those who, in the interest of the employer, effectively recommend such managerial actions if the exercise of such authority is not merely routinary or clerical in nature but requires the use of independent judgment. (Art. 219 (m), Labor Code)",1
1010,Were you directly hired by your employer or were you hired through a contractor or agency?,10,,1
1011,"Does your employer have the following powers:
a)	Power to select and hire employees;
b)	Power to pay wages;
c)	Power to terminate employment; and
d)	Control over the employee’s way or manner of working as well as the product of your work?",11,"Please note that he must have the right to exercise all of these powers, but it is not necessary that he has already exercised all of them.",1
1012,Does your employer have the power to control how you do your work as well as what you are able to deliver?,12,"You are considered under the control of your employer if the employer reserves the right to control not only the end to be achieved but also the manner and means to be used in reaching such end. (Francisco v. NLRC, G.R. No. 170087, 31 August 2006)",1
1013,Are you dependent on the employer for your continued employment in that line of business?,13,"You can be said to be dependent if the employer is your only source of income in the industry he is engaged in (Orozco v. CA, G.R. No. 155207, 13 August 2008) or if you have been working exclusively for him for a long period of time. (Francisco v. NLRC, G.R. No. 170087, 31 August 2006)",1
1014,What is your grievance about?,14,,1
1015,"Does the contractor or agency have substantial capital or investment (e.g. tools, equipment, machineries, work premises)?",LOCQ 1,,1
1016,Does the contractor or agency carry on a distinct and independent business from your employer?,LOCQ 2,,1
1017,Does the contractor or agency supply workers who perform activities directly related to the business of the employer?,LOCQ 3,,1
