id,content,identifier,next_recommendation_id,module_id
1601,"The dispute does not seem to be a labor dispute as defined by the law. 

Regardless of whether the disputants stand in the proximate relation of employer and employee, a labor dispute includes:
 
1. any controversy or matter concerning terms and conditions of employment or 
2. the association or representation of persons in negotiating, fixing, maintaining, changing or arranging the terms and conditions of employment. (Art. 219 (l), Labor Code)

A complaint against a co-worker that does not involve the above issues may be better settled through the grievance mechanisms of your place of employment. Please consult your Human Resources Department, Labor Union / Organization, or your superior to settle the dispute.",1,NULL,1
1602,?,2,NULL,1
1603,"It doesn’t seem like you can still file a case because 4 years have already gone by. 

Claims in relation to illegal dismissal – such as backwages and damages because of such termination – a case must be filed within 4 years. (Art. 114, Civil Code; Arriola v. Pilipino Star Ngayon, Inc., G.R. No. 175689, 13 August 2014)

Other money claims arising from employer-employee relations must be filed within 3 years from the time the cause of action accrued – otherwise, they would be forever barred. (Art. 306, Labor Code; Arriola v. Pilipino Star Ngayon, Inc., G.R. No. 175689, 13 August 2014)",3,NULL,1
1604,"An employer-employee relationship does not seem to exist under the control test. 

The control test is one of the most important tests in determining the existence of an employer-employee relationship. 

If there is no employer-employee relationship, labor agencies or courts would have no jurisdiction to hear and rule on the claims.",4,NULL,1
1605,"The existence of an employer-employee relationship is debatable. 

It may be argued as existing under the Control test, but it may also be argued as inexistent for not meeting the Two-Tier Test. Please consult a lawyer for a more comprehensive determination. If there is no employer-employee relationship, Labor agencies or courts would have no jurisdiction to hear and rule on the claims.

You may still proceed to the next questions, but the same are asked under the assumption that there is an employer-employee relationship.

NEXT STEP: Proceed to Question 14.",5,NULL,1
1606,"The termination of employment seems to be valid. 

Jurisprudence provides that as long as the Special Voluntary Resignation (SVR) Program was done in good faith and that the employees willingly partook in it, the termination would be valid and effective. In this sense, SVRs and similar schemes are considered valid measures for personnel reduction. By applying to voluntarily resign, the employee thereby acknowledges the existence of a valid cause for terminating his employment. (Dole Philippines, Inc. v. NLRC, G.R. No. 120009, 13 September 2001)

If you wish to assail the validity of the SVR itself, please consult a lawyer.",6,NULL,1
1609,"The dismissal seems to be justified. 

For a dismissal on the ground of serious misconduct to be valid, such misconduct must be of a grave character and not merely trivial. It must be related to the employee’s duties and must show his unfitness to continue working for the employer. It must also be performed with wrongful event. (Imasen Philippine Manufacturing Corporation v. Alcon, G.R. No. 194884, 22 October 2014)

If all of these elements are present, the dismissal would be justified.",9,NULL,1
1611,"The dismissal seems to be justified.

For a dismissal on the ground of insubordination or disobedience to be valid, such insubordination must be intentional and the rule, order, or instruction violated must be (1) reasonable and lawful, (2) made known to the employee, and (3) related to the duties of the employee. (Coffee Bean and Tea Leaf Philippines, Inc. v. Arenas, G.R. No. 208908, 11 March 2015)

If all of these elements are present, the dismissal would be justified.

Note that company rules and regulations are presumed valid until amended or nullified. Unless they are declared illegal or improper, they are presumed valid. (Benguet Electric Cooperative v. Fianza, G.R. No. 158606, 9 March 2004) Filing a case questioning the validity of such rules and policies does not prevent the employer from enforcing them. (Alcantara, Jr. v. CA, G.R. No. 143397, 6 August 2002)",11,NULL,1
1608,"The dismissal does not seem to be justified.

For a dismissal on the ground of serious misconduct to be valid, such misconduct must be of a grave character and not merely trivial. It must be related to the employee’s duties and must show his unfitness to continue working for the employer. It must also be performed with wrongful event. (Imasen Philippine Manufacturing Corporation v. Alcon, G.R. No. 194884, 22 October 2014)

Absent any of these elements, the dismissal would be invalid. 

To know what an illegally terminated employee is entitled to, proceed to MC Recommendation 34.

If you wish to file a case, proceed to WTF Question 1.",8,1735,1
1613,"The dismissal seems to be justified.

For a dismissal on the grounds of negligence to be valid, such negligence must be both gross and habitual – not simple. Simple negligence is not sufficient to terminate employment. (St. Luke’s Medical Center, Inc. v. Notario, G.R. No. 152166, 20 October 2010)

Gross negligence means the absence of that diligence that an ordinarily prudent man would use in his own affairs. (Chavez v. NLRC, G.R. No. 146530, 17 Jan 2005) Habitual negligence implies a repeated failure to perform one’s duties for a period of time, depending on the circumstances. (Premiere Development Bank v. Mantal, G.R. No. 167716, 23 March 2006) 

Generally, to warrant dismissal, the negligence must be both gross and habitual. (Chavez v. NLRC, G.R. No. 146530, 17 Jan 2005) However, habituality may be disregarded if the negligence was gross or the damage or loss is substantial. (Fuentes v. NLRC, G.R. No. 75955, 28 October 1988)",13,NULL,1
